tag,Zomba,Dabuz,Tilde,Mr. E,GuyGuy,GOCK IN MY RARI,PkChris,John Numbers,Sho,Quidd,Gen,Meli,Cee,Cody,Vivi,LRA_START,Raptor,Nah I'd Win,Wheezer,Smurf,Karflo,Seel,Quandale Dinglelingleton,Myles,pango,MintyFlesh,Hareta,Amaryllis,Bobo,EJJ,Sinji,21 Card Trick,HelpR,Peco,Dill,Free KayFlock,Gabo,Sonder,플레이어 4,Justinjpeg,Mattyton,vitz
Zomba,,2-0,0-0,0-0,2-1,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0
Dabuz,0-2,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
Tilde,0-0,0-0,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
Mr. E,0-0,0-0,0-0,,3-1,1-0,2-0,3-0,0-0,1-1,0-0,0-2,0-0,0-0,1-0,2-1,2-0,0-1,0-1,0-1,1-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
GuyGuy,1-2,0-0,0-0,1-3,,0-0,2-0,0-0,0-0,0-0,1-0,0-0,0-0,2-1,0-0,1-0,0-0,0-0,4-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0
GOCK IN MY RARI,0-1,0-0,0-0,1-0,0-0,,1-0,0-1,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-1,1-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
PkChris,0-1,0-0,0-0,0-2,0-2,0-1,,0-3,1-0,0-1,0-1,0-0,0-0,1-1,2-1,2-0,0-0,1-0,2-2,1-0,1-1,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,1-0,0-0,0-0
John Numbers,0-0,0-0,0-0,0-3,0-0,1-0,3-0,,0-0,0-0,0-0,1-1,0-0,0-0,3-0,3-2,1-0,2-0,0-0,0-0,4-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0
Sho,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,,0-0,0-0,0-0,0-1,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0
Quidd,0-0,0-0,0-0,1-1,0-0,0-0,1-0,0-0,0-0,,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
Gen,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
Meli,0-0,0-0,0-0,2-0,0-0,2-0,0-0,1-1,0-0,0-0,0-0,,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
Cee,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
Cody,0-0,0-0,0-0,0-0,1-2,0-0,1-1,0-0,0-0,0-2,0-0,0-1,0-0,,0-0,0-0,0-0,0-0,1-0,0-3,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
Vivi,0-0,0-0,0-0,0-1,0-0,0-0,1-2,0-3,1-0,0-0,0-0,1-0,0-0,0-0,,3-0,1-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
LRA_START,0-0,0-0,0-0,1-2,0-1,1-0,0-2,2-3,1-0,0-0,0-0,0-0,0-0,0-0,0-3,,0-1,0-1,0-0,0-0,3-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0
Raptor,0-0,0-0,0-0,0-2,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,,0-1,0-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0
