tag,id,rank,region
あcola,2691639,1,lumirank
Sparg0,158026,2,lumirank
Sonix,258371,3,lumirank
ミーヤー,1636582,4,lumirank
Glutonny,6122,5,lumirank
Light,158871,6,lumirank
Tweek,15768,7,lumirank
Yoshidora,1151910,8,lumirank
Riddles,160464,9,lumirank
Shuton,226829,10,lumirank
MkLeo,222927,11,lumirank
Tea,695882,12,lumirank
Kameme,197485,13,lumirank
Dabuz,4702,14,lumirank
Zomba,370802,15,lumirank
KEN,212701,16,lumirank
Asimo,1569435,17,lumirank
Yaura,2331494,18,lumirank
Hurt,1332765,19,lumirank
MuteAce,44865,20,lumirank
Sisqui,539193,21,lumirank
zackray,498962,22,lumirank
Maister,135042,23,lumirank
Marss,39206,24,lumirank
Kurama,175623,25,lumirank
Jogibu,1487005,26,lumirank
Gackt,484575,27,lumirank
Bloom4Eva,1198828,28,lumirank
Lima,216617,29,lumirank
Neo,1497801,30,lumirank
ApolloKage,1099727,31,lumirank
Skyjay,961165,32,lumirank
Umeki,30009,33,lumirank
ShinyMark,184005,34,lumirank
Kaninabe,2496070,35,lumirank
Kola,18802,36,lumirank
ロン,1476863,37,lumirank
MASA,559890,38,lumirank
Raflow,1352543,39,lumirank
Jagaimo,1057992,40,lumirank
ドラ右,2736197,41,lumirank
DIO,567567,42,lumirank
Pocket,1063610,43,lumirank
SHADIC,823045,44,lumirank
Big D,21504,45,lumirank
ツバキ,2512538,46,lumirank
へろー,1647076,47,lumirank
Kome,320526,48,lumirank
らるくん,2691637,49,lumirank
Aaron,29773,50,lumirank
MKBigBoss,546734,51,lumirank
あとりえ,553122,52,lumirank
ましゃ,564883,53,lumirank
TG(トリグリ),2586117,54,lumirank
Tarik,215623,55,lumirank
Quidd,1005189,56,lumirank
Lv.1,1334871,57,lumirank
AlanDiss,128243,58,lumirank
HIKARU,323524,59,lumirank
ヤマナクション,1405882,60,lumirank
Tilde,525344,61,lumirank
りゅーおー,1397743,62,lumirank
Eim,413245,63,lumirank
Luugi,1777711,64,lumirank
takera,312953,65,lumirank
Rizeasu,244649,66,lumirank
Yuno,1648298,67,lumirank
Ouch!?,300502,68,lumirank
M0tsunabE,2486625,69,lumirank
Capitancito,71105,70,lumirank
スノー,2789940,71,lumirank
Paseriman,544593,72,lumirank
Luis,173403,73,lumirank
エイク,3183067,74,lumirank
Sigma,569216,75,lumirank
Cosmos,64466,76,lumirank
たいけい,2146899,77,lumirank
Anathema,71203,78,lumirank
BeastModePaul,1868170,79,lumirank
BassMage,229756,80,lumirank
AndresFn,140568,81,lumirank
Wrath,70538,82,lumirank
Noi,1342372,83,lumirank
Jakal,231113,84,lumirank
Nao,498179,85,lumirank
Jake,532139,86,lumirank
Shirayuki,1494087,87,lumirank
Kiyarash,1436450,88,lumirank
Leon,5604,89,lumirank
MVD,21460,90,lumirank
せんら,1904953,91,lumirank
アカキクス,1857350,92,lumirank
Jahzz0,946548,93,lumirank
たまPだいふく,2738280,94,lumirank
Huto,498225,95,lumirank
showers,1510358,96,lumirank
Supahsemmie,148529,97,lumirank
sssr,2337581,98,lumirank
crêpe salée,1292149,99,lumirank
Mr. E,15889,100,lumirank
IcyMist,147658,101,lumirank
オムアツ,2209034,102,lumirank
quiK,6872,103,lumirank
Syrup,1216463,104,lumirank
Ikan,571090,105,lumirank
ツナ,1160707,106,lumirank
Repo,367317,107,lumirank
Nietono,31697,108,lumirank
いーじす/ Ezs,2215215,109,lumirank
Space,180857,110,lumirank
Raarchyor,1179613,111,lumirank
WaKa,504366,112,lumirank
WebbJP,1224902,113,lumirank
からあげ,2568097,114,lumirank
Flow,129129,115,lumirank
Peabnut,49302,116,lumirank
ラックス,2090131,117,lumirank
Skinny the Pooh,851851,118,lumirank
chicken,944373,119,lumirank
Gachipi,2702463,120,lumirank
Armadillo,445529,121,lumirank
Abadango,23241,122,lumirank
Suinoko,316314,123,lumirank
Shogun,159539,124,lumirank
Mezcaul,1406048,125,lumirank
Geist,250461,126,lumirank
NaetorU,999527,127,lumirank
Scend,28679,128,lumirank
alice,969722,129,lumirank
33ぺらんbox,3014971,130,lumirank
JDV,1532849,131,lumirank
エルレゴー/ElleGo,2226356,132,lumirank
Rox,131359,133,lumirank
Metara,2742735,134,lumirank
Ly,498227,135,lumirank
LeoN,147246,136,lumirank
Andrik,131374,137,lumirank
Chronos,959916,138,lumirank
ラリックス,1857535,139,lumirank
ゴリオカ,2218785,140,lumirank
トウラ,1218808,141,lumirank
Quandale Dinglelingleton,2286649,142,lumirank
おい、ジョージ,1339029,143,lumirank
JaZaR,375087,144,lumirank
らき,3179471,145,lumirank
じゃがバター,2234923,146,lumirank
Reno,2488729,147,lumirank
Goblin,57020,148,lumirank
moxi,150284,149,lumirank
Munekin,1336568,150,lumirank
DDee,1480393,151,lumirank
ProtoBanham,1041641,152,lumirank
Meme,59096,153,lumirank
big chungus,1811092,154,lumirank
Rivers,6301,155,lumirank
カルメろ,3519343,156,lumirank
Peli,51168,157,lumirank
morrocoYo,538881,158,lumirank
Joker,62166,159,lumirank
enhancedpv,655222,160,lumirank
Wolfen,46455,161,lumirank
しん,3145096,162,lumirank
BigFred,1516218,163,lumirank
OwlBBs,375693,164,lumirank
ウスケザ,1857479,165,lumirank
EKING,39038,166,lumirank
