tag,startggId,playerId
Syrup,user/0f333fd3,1216463
Petayaa,user/35f27ef9,1931564
Deltaforce,user/939c02ba,662541
Pharaoh,user/bee5b2da,1071129
Jakal,user/8cacea70,231113
Gonz,user/5d095ed5,26327
Mateo,user/285a1295,147679
Haze,user/fa4ad791,278439
Leon,user/019acc74,147246
Lemontea,user/c34a1624,147588
Rivers,user/12dc6721,6301
Haven,user/6d1e21f1,46546
Sola,user/99faf74e,568434
Sumgai,user/ad0e7d27,54394
Noodl,user/e0c79aa0,551860
Marvale,user/5614864a,1189720
Pink Cage,user/1ef568c5,1612820
BeatyBean,user/38013c4c,616232
WebbJP,user/63ad632c,1224902
ram,user/b6ad6cde,1166622
SmashBros!,user/0348165d,1463554
snogi,user/17d26cd4,1557444
Yeast,user/5fe1c384,1064188
Luigikid64,user/b98cb7df,1605499
Fhantum,user/5dc1a354,2220603
TabSoda,user/d7ac52fc,999566
Vince,user/f5a52e7d,358391
boosk,user/28bd218b,132399
Wise,user/bdf1c538,1308403
Krugbo,user/3059c712,1525089
Mugz,user/eece1826,1797847
Tweek,user/0d650c15,15768
Steffen,user/a9a807ad,1412503
aquaze,user/31b047b6,1769202
Jukain,user/964a66c1,47475
A9,user/dad94783,1276193
xavier,user/1106b285,1412639
Synnister,user/7ee26e8d,1760115
Obmcbob,,1031199
Greg House,,224470
EO,,328739
