tag,startggId,playerId
Zomba,,370802
Dabuz,,4702
Tilde,,525344
Mr. E,,15889
GuyGuy,,1810739
fawn,,467656
PkChris,,414731
John Numbers,,53621
Sho,,29992
Quidd,,1005189
Gen,,160103
Meli,,496339
Cee,,1050386
Cody,,1972274
Vivi,,181830
LRA_START,,228477
Shon,,3743679
Raptor,,16113
Burst,,266003
Wheezer,,680006
Smurf,,2520770
Karflo,,1852344
Seel,,3097780
Quandale Dinglelingleton,,2286649
Myles,,241491
pango,,265075
MintyFlesh,,734353
Hareta,,1264536
Amaryllis,,261992
Bobo,,583155
EJJ,,185802
Sinji,,61591
Elam,,464995
HelpR,,15187
Peco,,997968
Dill,,53639
Free KayFlock,,2519248
Gatsby,,1633924
Jules,,586229
Player 4,,39740
Justinjpeg,,1296894
Mattyton,,1349650
vitz,,1825040
