tournament_name,entrant_count,tier
fake,0,0
New Jersey Circuit Finale,52,1
Fusion #187,37,1
Luminosity Makes BIG Moves 2024,891,5
Center Stage King of Kings Invitational,31,1
BrookLAN Brawls #100,199,3
"STARGATE #55 up to $1,000 ULT(+$50) / $100 SF6 / $100 HDR",27,1
Center Stage #33,32,1
"STARGATE #54 LMBM Weekend - Up to $1,000 ULT / $100 SF6 / $100 HDR",48,1
Fusion #189,34,1
"Stargate #56 - Up to $1,000 Ult / $100 SF6 / $100 HDR",21,1
Fusion #186 - LMBM Prep Event!,70,2
Failsafe Winter 2024 ($200 POT BONUS),102,2
STARGATE #57 - SSBU & TEKKEN 8 Launch Party,29,1
Fusion #190,33,1
Showtime - NEPA SMASH REGIONAL,118,2
Adventure B-Airs #414,45,1
ウメブラSP#10 / UmeburaSP#10,1275,5
Fusion #188,29,1
Hyperspace Ultimate #78,20,1
Fries on a Salad #126,23,1
Fries on a Salad #125,17,1
RU Smashin' Spring 2024 #1: Go to Failsafe on 1/27,39,1
Battle Over The Bridge #122,30,1
Smash the Glass #9,17,1
Battle Over the Bridge 120 (Rivals is back!),30,1
Battle Over The Bridge 119 (No Rivals This Week!),23,1
Rowan SSBM Spring 2024 #1: Continued Yet Again For Real,17,1
Twas the Night Before LMBM (ESM#36 Ft. 250 Pot Bonus),127,2
Xeno325,78,2
ContenderHV Smash #124,28,1
ContenderHV Smash #123,22,1
ContenderHV Smash #121,29,1
Philly Smash Ultimate Winter 2024 Arcadian - Presented By: Bros. Calamity,55,1
Failsafe Winter 2024 Project+ & HDR (P+ Incremental Pot Bonus!),18,1
Hyperspace Ultimate #75,22,1
Battle Over The Bridge 121,21,1
